review_id,student_id,instructor_id,course_id,review_text,review_date,rating_score,response_time,sentiment_label,region,device_type,completed_courses,satisfaction_score,full_name,country,experience_years,course_count,avg_response_time,title,category,language,duration_hours,level
61,1230,6,117,"The course was okay, but I expected more practical examples.",10/10/2024,3,37.71,Neutral,Europe,Mobile,4,5.0,Jennifer Wheeler,Palestinian Territory,5,5,16.91,Total optimizing task-force,Business,English,36.9,Beginner
62,1010,73,59,Neither bad nor great – just an average learning experience.,11/5/2024,3,66.79,Neutral,South America,Mobile,2,7.0,Ashley Walton,Tokelau,20,2,13.49,Cross-platform homogeneous leverage,Health,English,19.3,Beginner
63,2726,75,94,I didn’t gain much from this course. It felt rushed and unstructured.,8/28/2024,1,71.16,Negative,South America,Desktop,8,7.0,Victoria Lynn,Georgia,18,3,22.38,Managed zero administration database,Business,French,28.2,Advanced
64,1253,9,139,"The course was okay, but I expected more practical examples.",9/16/2024,3,45.89,Neutral,South America,Mobile,1,7.0,Ryan Butler,Korea,3,1,42.42,Triple-buffered full-range ability,Language,German,22.7,Intermediate
65,1758,5,50,Not engaging at all. I struggled to stay focused throughout.,6/25/2024,1,69.52,Negative,North America,Mobile,10,2.0,Jeffrey Olson,Bahrain,8,3,2.03,Open-architected cohesive adapter,Tech,French,11.1,Advanced
66,2128,40,62,Excellent pacing and real-world examples. Highly recommend!,12/27/2024,4,17.51,Positive,Asia,Desktop,18,6.0,Steven Thompson,Swaziland,12,1,12.13,Organized scalable throughput,Health,French,38.1,Beginner
67,2156,52,22,Neither bad nor great – just an average learning experience.,7/1/2024,3,52.14,Neutral,Africa,Mobile,15,6.0,Jerry Munoz,Iran,20,3,28.27,Multi-lateral national attitude,Creative,Spanish,19.6,Beginner
68,2234,66,122,I appreciated the timely feedback and engaging content.,9/17/2024,5,71.05,Positive,Europe,Desktop,9,5.0,Amy Ball,Saint Pierre and Miquelon,12,5,17.61,Profit-focused asynchronous leverage,Health,German,13.6,Beginner
69,1197,4,66,I appreciated the timely feedback and engaging content.,12/19/2024,5,28.94,Positive,Europe,Desktop,17,8.0,Kristen Caldwell,Mauritius,8,4,26.4,Inverse multi-tasking initiative,Data Science,German,2.6,Intermediate
70,2224,34,19,The feedback was delayed and often unhelpful.,11/11/2024,2,70.58,Negative,Africa,Desktop,19,5.0,Michael Nunez,Singapore,7,3,25.81,Diverse analyzing software,Data Science,French,1.8,Intermediate
71,68,57,134,I appreciated the timely feedback and engaging content.,9/23/2024,4,3.04,Positive,South America,Desktop,2,5.0,Nichole Peterson,Tanzania,2,3,6.46,Decentralized heuristic collaboration,Health,English,14.8,Advanced
72,212,12,72,Too fast-paced and lacked clear explanations.,2/1/2025,1,8.96,Negative,North America,Desktop,18,3.0,Timothy Allen,Heard Island and McDonald Islands,2,3,4.66,Organic heuristic complexity,Creative,Spanish,19.5,Intermediate
73,1588,8,111,Not engaging at all. I struggled to stay focused throughout.,8/27/2024,1,56.24,Negative,South America,Desktop,11,4.0,Russell Jensen,Vanuatu,18,3,44.74,Advanced regional knowledgebase,Tech,Spanish,18.9,Advanced
74,685,11,122,The course structure and delivery exceeded my expectations.,7/15/2024,5,32.31,Positive,South America,Desktop,18,6.0,Sandra Wheeler,Paraguay,14,1,16.15,Profit-focused asynchronous leverage,Health,German,13.6,Beginner
75,1120,52,128,I didn’t gain much from this course. It felt rushed and unstructured.,6/26/2024,1,55.94,Negative,South America,Mobile,18,6.0,Jerry Munoz,Iran,20,3,28.27,Organized fresh-thinking infrastructure,Language,German,23.2,Intermediate
76,2038,39,44,The instructor was hard to follow and rarely responded to questions.,12/6/2024,1,25.43,Negative,South America,Mobile,14,5.0,Timothy Hatfield,Slovenia,4,1,12.59,Virtual secondary contingency,Data Science,English,24.1,Intermediate
77,2184,5,3,Too fast-paced and lacked clear explanations.,9/16/2024,1,5.45,Negative,North America,Mobile,16,8.0,Jeffrey Olson,Bahrain,8,3,2.03,Visionary foreground archive,Tech,English,10.1,Beginner
78,1714,1,103,The instructor was hard to follow and rarely responded to questions.,7/27/2024,2,5.42,Negative,South America,Desktop,12,4.0,Jennifer Clements,Turks and Caicos Islands,4,2,37.08,Networked mobile Local Area Network,Business,Spanish,3.7,Intermediate
79,499,2,99,The instructor was very clear and made the course enjoyable.,12/16/2024,5,40.62,Positive,Europe,Mobile,12,5.0,Brian Rogers,Azerbaijan,1,2,26.81,Universal didactic collaboration,Tech,German,23.1,Intermediate
80,2996,6,150,Too fast-paced and lacked clear explanations.,1/18/2025,1,57.58,Negative,South America,Desktop,2,3.0,Jennifer Wheeler,Palestinian Territory,5,5,16.91,Stand-alone reciprocal model,Data Science,French,12.5,Intermediate
81,1008,20,105,Excellent pacing and real-world examples. Highly recommend!,1/14/2025,4,16.86,Positive,South America,Mobile,17,5.0,Jessica Mitchell,Italy,18,4,7.91,Reduced non-volatile throughput,Health,French,1.5,Advanced
82,1431,52,80,Neither bad nor great – just an average learning experience.,11/15/2024,3,3.54,Neutral,Africa,Desktop,1,4.0,Jerry Munoz,Iran,20,3,28.27,Focused uniform challenge,Business,French,29.0,Advanced
83,137,62,76,Not engaging at all. I struggled to stay focused throughout.,5/20/2024,2,46.74,Negative,South America,Desktop,11,5.0,Scott Church,British Virgin Islands,4,2,32.97,Function-based global software,Creative,French,11.0,Intermediate
84,580,17,4,Too fast-paced and lacked clear explanations.,10/14/2024,2,5.44,Negative,Africa,Desktop,3,7.0,Lisa Miller,Morocco,17,5,5.18,Automated multimedia leverage,Language,English,14.1,Intermediate
85,2560,42,34,The feedback was delayed and often unhelpful.,1/21/2025,1,34.54,Negative,Asia,Desktop,4,5.0,Andrea Zimmerman,Korea,20,2,31.03,Automated analyzing software,Tech,German,19.9,Advanced
86,1074,32,88,Excellent pacing and real-world examples. Highly recommend!,11/11/2024,5,16.35,Positive,Europe,Desktop,17,6.0,Sophia Mendoza,Northern Mariana Islands,9,5,31.89,User-friendly explicit alliance,Data Science,German,15.6,Beginner
87,1721,16,131,The feedback was delayed and often unhelpful.,5/20/2024,2,49.89,Negative,North America,Desktop,11,3.0,Kelly Wright,Chad,8,2,24.36,Persevering asynchronous website,Language,German,20.3,Intermediate
88,164,16,88,The course structure and delivery exceeded my expectations.,7/26/2024,4,60.74,Positive,Europe,Desktop,16,6.0,Kelly Wright,Chad,8,2,24.36,User-friendly explicit alliance,Data Science,German,15.6,Beginner
89,1254,40,22,The course structure and delivery exceeded my expectations.,6/6/2024,4,65.97,Positive,South America,Desktop,9,5.0,Steven Thompson,Swaziland,12,1,12.13,Multi-lateral national attitude,Creative,Spanish,19.6,Beginner
90,624,15,74,"Decent course, though it lacked in-depth discussion.",9/25/2024,3,52.6,Neutral,North America,Mobile,3,6.0,Sarah Oconnell,Micronesia,7,1,5.94,Enhanced context-sensitive system engine,Language,German,38.0,Beginner
91,1253,67,69,The course structure and delivery exceeded my expectations.,7/8/2024,4,46.86,Positive,South America,Mobile,1,7.0,James Carey,Barbados,6,2,41.64,Horizontal didactic structure,Health,English,33.7,Intermediate
92,2624,74,58,The instructor was very clear and made the course enjoyable.,2/8/2025,4,69.42,Positive,Europe,Desktop,13,7.0,Robert Hancock,Sri Lanka,6,2,44.47,Upgradable intermediate approach,Tech,French,33.6,Advanced
93,2023,42,97,The course structure and delivery exceeded my expectations.,8/17/2024,5,71.03,Positive,Europe,Desktop,4,5.0,Andrea Zimmerman,Korea,20,2,31.03,Multi-layered intangible structure,Business,French,32.4,Intermediate
94,2191,9,67,I didn’t gain much from this course. It felt rushed and unstructured.,7/9/2024,1,67.82,Negative,South America,Desktop,18,6.0,Ryan Butler,Korea,3,1,42.42,Diverse explicit toolset,Language,Spanish,2.2,Intermediate
95,2698,4,23,"The instructor was fine, but the pace felt a bit off.",1/19/2025,3,24.81,Neutral,North America,Mobile,18,7.0,Kristen Caldwell,Mauritius,8,4,26.4,Object-based composite help-desk,Data Science,Spanish,37.8,Beginner
96,57,2,73,The feedback was delayed and often unhelpful.,9/23/2024,1,62.09,Negative,South America,Mobile,7,6.0,Brian Rogers,Azerbaijan,1,2,26.81,Diverse background matrices,Business,French,5.5,Intermediate
97,777,30,118,"The course was okay, but I expected more practical examples.",5/17/2024,3,42.6,Neutral,Europe,Desktop,8,6.0,Whitney Burton,Maldives,14,5,16.34,Extended actuating hub,Creative,German,31.2,Beginner
98,423,22,135,I appreciated the timely feedback and engaging content.,4/10/2025,4,50.66,Positive,North America,Desktop,2,6.0,Eric Bowman,Georgia,18,4,27.29,Persevering disintermediate knowledgebase,Data Science,German,11.1,Intermediate
99,491,67,133,I didn’t gain much from this course. It felt rushed and unstructured.,2/19/2025,2,44.36,Negative,Africa,Mobile,2,5.0,James Carey,Barbados,6,2,41.64,Cloned exuding database,Creative,Spanish,20.0,Intermediate
100,1833,5,24,The course structure and delivery exceeded my expectations.,9/9/2024,4,3.03,Positive,Africa,Mobile,16,7.0,Jeffrey Olson,Bahrain,8,3,2.03,Robust context-sensitive monitoring,Language,Spanish,12.6,Advanced
101,354,48,147,Neither bad nor great – just an average learning experience.,11/10/2024,3,68.16,Neutral,Europe,Desktop,15,6.0,Kenneth Hernandez,Congo,13,4,32.77,Diverse demand-driven matrix,Creative,French,28.8,Beginner
102,2840,32,84,Too fast-paced and lacked clear explanations.,12/13/2024,2,62.89,Negative,Europe,Mobile,20,6.0,Sophia Mendoza,Northern Mariana Islands,9,5,31.89,Synergistic even-keeled open architecture,Data Science,French,23.6,Beginner
103,1843,2,77,The feedback was delayed and often unhelpful.,6/14/2024,2,3.04,Negative,Europe,Desktop,6,6.0,Brian Rogers,Azerbaijan,1,2,26.81,Polarized actuating initiative,Business,French,15.4,Intermediate
104,1465,75,83,"The course was okay, but I expected more practical examples.",5/31/2024,3,69.13,Neutral,North America,Desktop,4,6.0,Victoria Lynn,Georgia,18,3,22.38,Business-focused systematic core,Creative,German,13.1,Beginner
105,2250,2,150,Great teaching style – the explanations were easy to follow.,12/11/2024,5,23.51,Positive,North America,Mobile,20,7.0,Brian Rogers,Azerbaijan,1,2,26.81,Stand-alone reciprocal model,Data Science,French,12.5,Intermediate
106,638,67,36,I didn’t gain much from this course. It felt rushed and unstructured.,8/27/2024,1,46.78,Negative,Asia,Desktop,5,5.0,James Carey,Barbados,6,2,41.64,Up-sized mission-critical orchestration,Language,German,27.1,Intermediate
107,2373,55,49,Not engaging at all. I struggled to stay focused throughout.,6/18/2024,1,36.83,Negative,South America,Mobile,20,2.0,Randall Ballard,Sweden,7,1,39.14,Diverse disintermediate encryption,Health,English,8.1,Beginner
108,2854,62,123,I didn’t gain much from this course. It felt rushed and unstructured.,3/23/2025,2,47.66,Negative,Asia,Desktop,13,5.0,Scott Church,British Virgin Islands,4,2,32.97,Multi-channeled human-resource analyzer,Business,German,10.6,Intermediate
109,465,70,129,Not engaging at all. I struggled to stay focused throughout.,2/5/2025,2,14.73,Negative,Africa,Desktop,8,4.0,Janice Perez,Cambodia,7,3,22.64,Virtual fresh-thinking functionalities,Creative,Spanish,27.1,Beginner
110,1375,32,78,The instructor was very clear and made the course enjoyable.,2/14/2025,5,70.88,Positive,Asia,Mobile,4,6.0,Sophia Mendoza,Northern Mariana Islands,9,5,31.89,Decentralized eco-centric neural-net,Creative,English,24.6,Beginner
111,731,50,58,The course structure and delivery exceeded my expectations.,2/28/2025,5,39.73,Positive,Asia,Desktop,4,8.0,Elizabeth Moss,Estonia,18,4,8.09,Upgradable intermediate approach,Tech,French,33.6,Advanced
112,1179,29,95,"Decent course, though it lacked in-depth discussion.",7/13/2024,3,19.32,Neutral,Africa,Mobile,7,5.0,Julie Ramirez,Saint Kitts and Nevis,6,3,11.25,Face-to-face client-driven definition,Health,Spanish,12.8,Beginner
113,2649,63,4,Excellent pacing and real-world examples. Highly recommend!,9/19/2024,4,25.08,Positive,North America,Mobile,3,8.0,Samuel Johnson,Guernsey,13,4,47.27,Automated multimedia leverage,Language,English,14.1,Intermediate
114,1190,47,49,I appreciated the timely feedback and engaging content.,7/5/2024,5,39.81,Positive,North America,Desktop,16,6.0,Cristina Cole,Barbados,4,4,12.95,Diverse disintermediate encryption,Health,English,8.1,Beginner
115,639,31,70,The feedback was delayed and often unhelpful.,9/28/2024,1,41.14,Negative,Asia,Mobile,12,6.0,Thomas Hatfield,Panama,11,4,47.78,Front-line even-keeled process improvement,Health,German,25.2,Beginner
116,137,65,145,"The instructor was fine, but the pace felt a bit off.",9/4/2024,3,65.12,Neutral,South America,Desktop,11,5.0,Edgar Richards,Singapore,15,3,20.52,Monitored mobile utilization,Business,French,10.4,Beginner
117,1251,28,135,Not engaging at all. I struggled to stay focused throughout.,8/17/2024,2,31.39,Negative,North America,Mobile,14,5.0,Marc Henson,Djibouti,1,5,35.58,Persevering disintermediate knowledgebase,Data Science,German,11.1,Intermediate
118,614,72,41,Great teaching style – the explanations were easy to follow.,2/16/2025,4,26.04,Positive,Africa,Desktop,3,7.0,Jamie Kane,Pakistan,3,5,14.81,Cross-platform neutral function,Tech,French,39.2,Intermediate
119,1853,49,135,Not engaging at all. I struggled to stay focused throughout.,4/2/2025,1,34.07,Negative,South America,Mobile,7,3.0,Timothy Lewis,Paraguay,3,5,11.85,Persevering disintermediate knowledgebase,Data Science,German,11.1,Intermediate
120,281,6,92,The instructor was hard to follow and rarely responded to questions.,11/24/2024,1,50.2,Negative,Africa,Mobile,3,7.0,Jennifer Wheeler,Palestinian Territory,5,5,16.91,Function-based attitude-oriented firmware,Tech,English,33.4,Advanced
121,1257,56,150,Not engaging at all. I struggled to stay focused throughout.,9/20/2024,2,42.26,Negative,South America,Desktop,4,7.0,Gina Ortega,Botswana,3,5,10.76,Stand-alone reciprocal model,Data Science,French,12.5,Intermediate
122,898,27,129,I appreciated the timely feedback and engaging content.,9/6/2024,4,53.73,Positive,North America,Mobile,4,5.0,Robert Horne,Lesotho,9,5,26.81,Virtual fresh-thinking functionalities,Creative,Spanish,27.1,Beginner
123,1086,46,130,The course structure and delivery exceeded my expectations.,7/25/2024,4,13.05,Positive,Asia,Desktop,6,8.0,Chad Barron,Belgium,18,1,5.26,Enhanced web-enabled frame,Business,Spanish,14.1,Beginner
